GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cardio_generator,com,Main,20,0,4,0,5,0,4,0,2,0
cardio_generator,com.cardioGenerator.outputs,ConsoleOutputStrategy,0,28,0,0,0,3,0,2,0,2
cardio_generator,com.cardioGenerator.outputs,FileOutputStrategy,101,0,0,0,17,0,3,0,3,0
cardio_generator,com.cardioGenerator.outputs,TcpOutputStrategy,79,0,2,0,19,0,4,0,3,0
cardio_generator,com.cardioGenerator.outputs,WebSocketOutputStrategy,59,0,2,0,10,0,3,0,2,0
cardio_generator,com.cardioGenerator.outputs,WebSocketOutputStrategy.SimpleWebSocketServer,26,0,0,0,11,0,6,0,6,0
cardio_generator,com.dataManagement,PatientRecord,3,24,0,0,1,9,1,4,1,4
cardio_generator,com.dataManagement,FileDataReader,52,103,3,11,17,21,3,7,1,2
cardio_generator,com.dataManagement,Patient,0,64,2,4,0,15,2,5,0,4
cardio_generator,com.dataManagement,DataStorage,71,49,5,3,17,12,5,4,2,3
cardio_generator,com.cardioGenerator.generators,ECGDataGenerator,7,107,0,2,3,19,0,6,0,5
cardio_generator,com.cardioGenerator.generators,BloodLevelsDataGenerator,7,131,0,2,3,22,0,7,0,6
cardio_generator,com.cardioGenerator.generators,AlertGenerator,74,0,8,0,19,0,7,0,3,0
cardio_generator,com.cardioGenerator.generators,BloodSaturationDataGenerator,7,68,0,2,3,15,0,5,0,4
cardio_generator,com.cardioGenerator.generators,BloodPressureDataGenerator,7,117,0,2,3,24,0,6,0,5
cardio_generator,com.alerts,Alert,9,12,0,0,3,5,3,1,3,1
cardio_generator,com.alerts,AlertGenerator,26,426,11,54,8,81,11,32,0,9
cardio_generator,com.cardioGenerator,HealthDataSimulator,311,29,22,2,76,7,23,3,11,2
